Feature,Scaler_Min,Scaler_Max
gender,0.0,1.0
SeniorCitizen,0.0,0.6931471805599453
Partner,0.0,1.0
Dependents,0.0,1.0
tenure,0.0,72.0
PhoneService,0.0,1.0
PaperlessBilling,0.0,1.0
MonthlyCharges,18.25,118.75
TotalCharges,18.8,8684.8
MultipleLines,0.2453392990305742,0.2947807933194154
InternetService,0.07166392092257001,0.4212011285771866
OnlineSecurity,0.07166392092257001,0.4231729055258467
OnlineBackup,0.07166392092257001,0.40342997141690484
DeviceProtection,0.07166392092257001,0.39146341463414636
TechSupport,0.07166392092257001,0.4213342846949697
StreamingTV,0.07166392092257001,0.33584738243123335
StreamingMovies,0.07166392092257001,0.3322841726618705
Contract,0.03092006033182504,0.42764648753641954
PaymentMethod,0.1542904290429043,0.45671800318640465
